symptoms_text,expected_department,expected_priority,expected_severity
"Severe chest pain with sweating and nausea, pain radiating to left arm",Cardiology,Emergency,10
"Sudden weakness on one side, slurred speech, possible stroke",Emergency,Emergency,10
"Shortness of breath and wheezing, asthma attack, difficulty breathing",Pulmonology,Emergency,9
"High fever with chills and body ache for 2 days",General Medicine,High,7
"Skin rash with itching after new soap",Dermatology,Low,3
"Pregnancy with abdominal pain and bleeding",Obstetrics & Gynaecology,Emergency,10
"Ear pain with reduced hearing and sore throat",ENT,Medium,5
"Toothache with swollen gums",Dental,Medium,5
"Blurred vision and eye pain",Ophthalmology,High,8
"Knee pain after fall with swelling",Orthopaedics,High,7